       x,       x,       x,       x
       0,       0,  194897,  -98399
       0,       0,  214554,  -67164
       0,       0,  228601,  -32617
       0,       0,  236499,    4190
       0,       0,  237928,   42107
       0,       0,  232781,   79944
       0,       0,  221176,  116502
       0,       0,  203449,  150644
       0,       0,  180134,  181303
       0,       0,  151960,  207541
       0,       0,  119797,  228547
       0,       0,   84679,  243714
       0,       0,   47717,  252609
       0,       0,   10089,  255041
       0,       0,  -27027,  251025
       0,       0,  -62475,  240797
       0,       0,  -95156,  224809
       0,       0, -124093,  203691
       0,       0, -148427,  178263
       0,       0, -167492,  149470
       0,       0, -180782,  118384
       0,       0, -188040,   86125
       0,       0, -189176,   53850
       0,       0, -184376,   22712
       0,       0, -173987,   -6192
       0,       0, -158591,  -31853
       0,       0, -138929,  -53420
       0,       0, -115896,  -70160
       0,       0,  -90516,  -81552
       0,       0,  -63867,  -87258
       0,       0,  -37101,  -87162
       0,       0,  -11349,  -81381
       0,       0,   12292,  -70219
       0,       0,   32807,  -54209
       0,       0,   49307,  -34045
       0,       0,   61034,  -10592
       0,       0,   67433,   15154
       0,       0,   68116,   42117
       0,       0,   62916,   69150
       0,       0,   51888,   95111
       0,       0,   35318,  118869
       0,       0,   13694,  139385
       0,       0,  -12304,  155709
       0,       0,  -41848,  167052
       0,       0,  -73947,  172763
       0,       0, -107528,  172411
       0,       0, -141424,  165767
       0,       0, -174478,  152830
       0,       0, -205511,  133813
       0,       0, -233423,  109132
       0,       0, -257192,   79417
       0,       0, -275953,   45462
       0,       0, -288987,    8233
       0,       0, -295754,  -31204
       0,       0, -295941,  -71696
       0,       0, -289440, -112050
       0,       0, -276380, -151066
       0,       0, -257085, -187597
       0,       0, -232100, -220576
       0,       0, -202145, -249059
       0,       0, -168105, -272236
       0,       0, -131020, -289483
       0,       0,  -92004, -300373
       0,       0,  -52236, -304703
       0,       0,  -12901, -302490
       0,       0,   24845, -293963
       0,       0,   59898, -279570
       0,       0,   91277, -259945
       0,       0,  118118, -235909
       0,       0,  139743, -208396
       0,       0,  155651, -178472
       0,       0,  165570, -147253
       0,       0,  169415, -115901
       0,       0,  167357,  -85568
       0,       0,  159747,  -57346
       0,       0,  147156,  -32249
       0,       0,  130325,  -11126
       0,       0,  110140,    5294
       0,       0,   87613,   16498
       0,       0,   63828,   22146
       0,       0,   39915,   22119
       0,       0,   17016,   16525
       0,       0,   -3787,    5673
       0,       0,  -21471,   -9904
       0,       0,  -35166,  -29507
       0,       0,  -44115,  -52273
       0,       0,  -47773,  -77210
       0,       0,  -45741, -103246
       0,       0,  -37875, -129234
       0,       0,  -24228, -154032
       0,       0,   -5104, -176516
       0,       0,   19022, -195645
       0,       0,   47462, -210476
       0,       0,   79379, -220219
       0,       0,  113776, -224229
       0,       0,  149576, -222074
       0,       0,  185616, -213530
       0,       0,  220723, -198598
       0,       0,  253723, -177496
       0,       0,  283502, -150645
       0,       0,  309047, -118685
       0,       0,  329483,  -82416
       0,       0,  344096,  -42798
       0,       0,  352330,    -903
       0,       0,  353871,   42112
       0,       0,  348612,   85042
       0,       0,  336677,  126687
       0,       0,  318391,  165895
       0,       0,  294292,  201594
       0,       0,  265115,  232835
       0,       0,  231725,  258796
       0,       0,  195168,  278853
       0,       0,  156553,  292569
       0,       0,  117068,  299747
       0,       0,   77886,  300392
       0,       0,   40166,  294734
       0,       0,    5012,  283204
       0,       0,  -26590,  266432
       0,       0,  -53777,  245228
       0,       0,  -75877,  220531
       0,       0,  -92382,  193408
       0,       0, -103021,  164962
       0,       0, -107709,  136351
       0,       0, -106611,  108715
       0,       0, -100084,   83149
       0,       0,  -88682,   60649
       0,       0,  -73158,   42069
       0,       0,  -54391,   28129
       0,       0,  -33395,   19346
       0,       0,  -11242,   16051
       0,       0,   10937,   18354
       0,       0,   32007,   26145
       0,       0,   50880,   39109
       0,       0,   66553,   56719
       0,       0,   78141,   78265
       0,       0,   84909,  102877
       0,       0,   86296,  129558
       0,       0,   81929,  157236
       0,       0,   71647,  184764
       0,       0,   55520,  210996
       0,       0,   33852,  234807
       0,       0,    7134,  255152
       0,       0,  -23946,  271076
       0,       0,  -58551,  281790
       0,       0,  -95673,  286654
       0,       0, -134240,  285241
       0,       0, -173075,  277316
       0,       0, -211003,  262874
       0,       0, -246836,  242140
       0,       0, -279468,  215534
       0,       0, -307877,  183691
       0,       0, -331176,  147405
       0,       0, -348641,  107653
       0,       0, -359723,   65496
       0,       0, -364102,   22103
       0,       0, -361660,  -21343
       0,       0, -352514,  -63616
