       X,       X
  -45040, -234608
  -15328, -219440
   10000, -199856
   30256, -176864
   44944, -151472
   53776, -124848
   56720,  -98160
   53856,  -72480
   45632,  -49024
   32608,  -28720
   15456,  -12464
   -4816,    -944
  -27248,    5280
  -50736,    5904
  -74112,     832
  -96256,   -9872
 -116048,  -25792
 -132480,  -46464
 -144640,  -71168
 -151808,  -98960
 -153392, -128880
 -149040, -159808
 -138560, -190592
 -122032, -220048
  -99792, -247040
  -72304, -270512
  -40240, -289504
   -4528, -303168
   33888, -310912
   73872, -312224
  114272, -306928
  153840, -294992
  191440, -276624
  225888, -252256
  256176, -222528
  281424, -188224
  300864, -150336
  313952, -109952
  320336,  -68208
  319936,  -26336
  312832,   14448
  299344,   52976
  280048,   88192
  255632,  119120
  226992,  144928
  195136,  164976
  161248,  178864
  126448,  186336
   91936,  187424
   58896,  182384
   28416,  171600
    1488,  155760
  -21040,  135632
  -38448,  112208
  -50304,   86528
  -56272,   59744
  -56352,   32992
  -50640,    7408
  -39552,  -15840
  -23680,  -35808
   -3712,  -51616
   19360,  -62560
   44576,  -68064
   70800,  -67872
   96896,  -61856
  121696,  -50096
  144096,  -32992
  163088,  -11024
  177728,   15072
  187344,   44384
  191280,   75920
  189232,  108560
  180960,  141168
  166560,  172528
  146352,  201536
  120832,  227088
   90640,  248256
   56672,  264192
   19920,  274272
  -18512,  278000
  -57456,  275152
  -95680,  265760
 -132064,  249968
 -165408,  228256
 -194688,  201184
 -219056,  169616
 -237744,  134496
 -250208,   96896
 -256064,   57968
 -255280,   18944
 -247920,  -18992
 -234304,  -54656
 -214992,  -87008
 -190704, -115072
 -162304, -138032
 -130816, -155248
  -97408, -166304
  -63232, -170976
  -29456, -169312
    2720, -161520
   32224, -148048
   58064, -129568
   79376, -106848
   95456,  -80896
  105888,  -52720
  110320,  -23536
  108736,    5568
  101280,   33408
   88352,   58864
   70528,   80928
   48528,   98752
   23328,  111616
   -4080,  118960
  -32576,  120512
  -61024,  116112
  -88240,  105888
 -113136,   90208
 -134672,   69536
 -151936,   44640
 -164192,   16416
 -170832,  -14160
 -171504,  -45968
 -166016,  -77856
 -154416, -108624
 -137024, -137152
 -114352, -162352
  -87008, -183296
  -55904, -199136
  -22016, -209232
   13552, -213104
   49648, -210560
   85040, -201568
  118608, -186288
  149168, -165232
  175696, -138944
  197344, -108272
  213344,  -74160
  223168,  -37696
  226464,     -16
  223152,   37664
  213328,   74128
  197328,  108240
  175696,  138912
  149152,  165200
  118592,  186272
   85008,  201520
   49616,  210528
   13536,  213056
  -22048,  209168
  -55920,  199088
  -87024,  183232
 -114352,  162304
 -137056,  137088
 -154432,  108560
 -166016,   77776
 -171488,   45920
 -170832,   14112
 -164176,  -16480
 -151936,  -44704
 -134672,  -69584
 -113120,  -90240
  -88240, -105952
  -61024, -116160
  -32576, -120560
   -4064, -119040
   23344, -111648
   48544,  -98816
   70512,  -80976
   88336,  -58896
  101280,  -33440
  108736,   -5616
  110336,   23488
  105888,   52688
   95456,   80848
   79344,  106816
   58048,  129520
   32208,  148016
    2704,  161472
  -29488,  169280
  -63248,  170928
  -97440,  166240
 -130848,  155184
 -162320,  137952
 -190704,  115008
 -214992,   86960
 -234320,   54608
 -247936,   18912
 -255296,  -19024
 -256064,  -58048
 -250176,  -96976
 -237728, -134576
 -219040, -169680
 -194688, -201248
 -165392, -228304
 -132032, -250048
  -95648, -265808
  -57424, -275216
  -18496, -278032
   19952, -274304
   56688, -264240
   90672, -248288
  120848, -227136
  146384, -201568
  166576, -172576
  180960, -141184
  189216, -108608
  191296,  -75968
  187344,  -44400
  177760,  -15104
  163104,   10976
  144080,   32928
  121696,   50064
   96896,   61808
   70800,   67840
   44576,   68048
   19360,   62496
   -3728,   51584
  -23664,   35776
  -39536,   15776
  -50640,   -7472
  -56352,  -33040
  -56304,  -59792
  -50320,  -86592
  -38448, -112256
  -21008, -135680
    1504, -155792
   28448, -171648
   58912, -182416
   91952, -187488
  126464, -186384
  161280, -178880
  195168, -165008
  227008, -144944
  255648, -119152
  280048,  -88224
  299360,  -53008
  312832,  -14464
  319952,   26320
  320320,   68192
  313936,  109936
  300832,  150320
  281408,  188192
  256176,  222496
  225872,  252240
  191408,  276608
  153808,  294960
  114224,  306896
   73856,  312176
   33840,  310848
   -4544,  303120
  -40288,  289424
  -72336,  270448
  -99824,  246976
 -122064,  219984
